,X,Y,H,Vx,Vy,Vh
353,683896.9858,5092470.837,25.63663184,0.602890091,0.592234818,0.608072277
354,683897.0469,5092471.016,25.52584202,0.601649589,0.593368395,0.608072526
355,683897.0211,5092470.971,25.70395002,0.60094319,0.594528066,0.608072707
356,683897.0166,5092471.012,25.87764593,0.600555877,0.595450548,0.608072784
357,683897.0017,5092471.255,25.7010807,0.600472715,0.596349672,0.608072713
358,683897.0839,5092471.381,25.77320908,0.600191743,0.597735099,0.608072751
359,683897.0881,5092471.251,26.00772984,0.599902622,0.598676026,0.608072817
360,683897.0644,5092471.188,25.94659298,0.600602615,0.598837922,0.608072761
361,683897.0275,5092471.216,25.92917953,0.600916941,0.598406146,0.608072746
362,683896.9474,5092471.127,26.1435584,0.601219187,0.597879439,0.608072808
363,683897.0732,5092471.088,25.87441568,0.601020706,0.596819224,0.608072695
364,683897.12,5092471.13,25.81306528,0.60026815,0.596184557,0.608072702
365,683897.1422,5092471.149,25.69184915,0.600429095,0.595825646,0.608072689
366,683897.2658,5092471.035,25.56647436,0.600918719,0.595257348,0.608072681
367,683897.2278,5092471.122,25.3902295,0.601219944,0.594677078,0.608072663
368,683897.2703,5092471.116,25.46257403,0.601517095,0.593843465,0.608072728
369,683897.2097,5092471.097,25.29268638,0.602556715,0.593724177,0.608072688
370,683897.1985,5092471.125,25.35430357,0.603927645,0.59342888,0.607824658
371,683897.1707,5092471.046,25.44449338,0.605111393,0.592637788,0.607796753
372,683897.1915,5092470.969,25.35932197,0.605547175,0.592287307,0.607785638
373,683897.1679,5092470.863,25.48543525,0.604905282,0.591722548,0.607781288
374,683897.2049,5092470.94,25.4618069,0.603125568,0.590895585,0.607531445
375,683897.1567,5092471.046,25.2915601,0.600680127,0.589290591,0.607502763
376,683897.157,5092471.159,25.51395787,0.598111675,0.586099862,0.607243423
377,683897.2017,5092471.143,25.50107477,0.595990598,0.584191137,0.607210959
378,683897.1896,5092471.154,25.3042437,0.593657885,0.58236843,0.60694995
379,683897.2191,5092471.193,25.38847927,0.592800232,0.580331776,0.606916963
380,683897.1833,5092471.19,25.37081161,0.592600945,0.577784439,0.606655778
