X,Y,Z,Latitude,Longitude,Altitude (m)
683881.012209297,5092463.67730814,-20.374,45.96109993,-66.62690833,-20.374
683881.00968617,5092463.68390507,-20.378,45.96109999,-66.62690836,-20.378
683881.009520674,5092463.68946022,-20.383,45.96110004,-66.62690836,-20.383
683881.007673094,5092463.69941332,-20.387,45.96110013,-66.62690838,-20.387
683881.005924811,5092463.70603334,-20.391,45.96110019,-66.6269084,-20.391
683881.004242726,5092463.71043129,-20.393,45.96110023,-66.62690842,-20.393
683881.003434784,5092463.71151923,-20.398,45.96110024,-66.62690843,-20.398
683881.001110252,5092463.71144998,-20.4,45.96110024,-66.62690846,-20.4
683880.998818818,5092463.7102697,-20.404,45.96110023,-66.62690849,-20.404
683880.999726059,5092463.70584866,-20.409,45.96110019,-66.62690848,-20.409
683880.999792257,5092463.70362661,-20.412,45.96110017,-66.62690848,-20.412
683881.000765696,5092463.69698351,-20.413,45.96110011,-66.62690847,-20.413
683881.004030568,5092463.69152069,-20.415,45.96110006,-66.62690843,-20.415
683881.006553694,5092463.68492376,-20.417,45.9611,-66.6269084,-20.417
683881.009752368,5092463.68168301,-20.418,45.96109997,-66.62690836,-20.418
683881.012010702,5092463.68397432,-20.42,45.96109999,-66.62690833,-20.42
683881.012686249,5092463.68733049,-20.422,45.96110002,-66.62690832,-20.422
683881.01265315,5092463.68844152,-20.423,45.96110003,-66.62690832,-20.423
683881.013394895,5092463.68957564,-20.422,45.96110004,-66.62690831,-20.422
683881.014944583,5092463.6896218,-20.422,45.96110004,-66.62690829,-20.422
683881.017202917,5092463.69191311,-20.421,45.96110006,-66.62690826,-20.421
683881.017911563,5092463.69415826,-20.42,45.96110008,-66.62690825,-20.42
683881.01616328,5092463.70077827,-20.421,45.96110014,-66.62690827,-20.421
683881.012156663,5092463.70510697,-20.421,45.96110018,-66.62690832,-20.421
683881.011183224,5092463.71175007,-20.423,45.96110024,-66.62690833,-20.423
683881.009434942,5092463.71837008,-20.424,45.9611003,-66.62690835,-20.424
683881.005395225,5092463.72380982,-20.425,45.96110035,-66.6269084,-20.425
683881.001289311,5092463.73147161,-20.426,45.96110042,-66.62690845,-20.426
683880.994183318,5092463.73570797,-20.428,45.96110046,-66.62690854,-20.428
683880.987951468,5092463.73663434,-20.428,45.96110047,-66.62690862,-20.428
683880.981785814,5092463.73533864,-20.428,45.96110046,-66.6269087,-20.428
683880.974845317,5092463.73401986,-20.428,45.96110045,-66.62690879,-20.428
683880.970904898,5092463.7361265,-20.429,45.96110047,-66.62690884,-20.429
683880.967673125,5092463.74047828,-20.429,45.96110051,-66.62690888,-20.429
683880.967474531,5092463.74714446,-20.429,45.96110057,-66.62690888,-20.429
683880.966467993,5092463.75489859,-20.43,45.96110064,-66.62690889,-20.43
683880.967819087,5092463.76161094,-20.432,45.9611007,-66.62690887,-20.432
683880.968494633,5092463.76496711,-20.433,45.96110073,-66.62690886,-20.433
683880.968329138,5092463.77052226,-20.436,45.96110078,-66.62690886,-20.436
683880.967289501,5092463.77938742,-20.438,45.96110086,-66.62690887,-20.438
683880.966282963,5092463.78714154,-20.44,45.96110093,-66.62690888,-20.44
683880.964501581,5092463.79487259,-20.442,45.961101,-66.6269089,-20.442
683880.962011553,5092463.80035849,-20.443,45.96110105,-66.62690893,-20.443
683880.958779781,5092463.80471027,-20.445,45.96110109,-66.62690897,-20.445
683880.957130796,5092463.8079972,-20.446,45.96110112,-66.62690899,-20.446
683880.95403142,5092463.80790486,-20.446,45.96110112,-66.62690903,-20.446
683880.951706887,5092463.80783561,-20.445,45.96110112,-66.62690906,-20.445
683880.950965143,5092463.8067015,-20.445,45.96110111,-66.62690907,-20.445
683880.950256496,5092463.80445635,-20.444,45.96110109,-66.62690908,-20.444
683880.948839205,5092463.79996607,-20.444,45.96110105,-66.6269091,-20.444
683880.949746446,5092463.79554503,-20.444,45.96110101,-66.62690909,-20.444
683880.95533585,5092463.79015146,-20.444,45.96110096,-66.62690902,-20.444
683880.961666997,5092463.78589201,-20.444,45.96110092,-66.62690894,-20.444
683880.969547835,5092463.78167873,-20.445,45.96110088,-66.62690884,-20.445
683880.977428671,5092463.77746545,-20.445,45.96110084,-66.62690874,-20.445
683880.984534664,5092463.77322908,-20.445,45.9611008,-66.62690865,-20.445
683880.991574459,5092463.77121477,-20.447,45.96110078,-66.62690856,-20.447
683880.99632282,5092463.76802018,-20.45,45.96110075,-66.6269085,-20.45
683881.001846026,5092463.76484868,-20.452,45.96110072,-66.62690843,-20.452
683881.008077878,5092463.76392232,-20.453,45.96110071,-66.62690835,-20.453
683881.012726942,5092463.76406082,-20.454,45.96110071,-66.62690829,-20.454
683881.015727021,5092463.76748624,-20.455,45.96110074,-66.62690825,-20.455
683881.018694001,5092463.7720227,-20.456,45.96110078,-66.62690821,-20.456
683881.020819938,5092463.77875813,-20.459,45.96110084,-66.62690818,-20.459
683881.020555145,5092463.78764637,-20.459,45.96110092,-66.62690818,-20.459
