,X,Y,H
483,683876.0407222268,5092468.653333323,-12.597277777000018
484,683876.0290555599,5092468.663333323,-12.604777777000018
485,683876.0123888929,5092468.680555545,-12.585888888000019
486,683876.0060000039,5092468.690555545,-12.57922222100002
487,683875.9882222259,5092468.714999989,-12.56144444300002
488,683875.9701666699,5092468.7286110995,-12.54588888700002
489,683875.95766667,5092468.733055543,-12.535611109000019
490,683875.939333337,5092468.74472221,-12.519499998000018
491,683875.925722226,5092468.7544444315,-12.505611109000018
492,683875.9132222261,5092468.763888876,-12.490888887000018
493,683875.9040555591,5092468.770555543,-12.480055554000018
494,683875.878777781,5092468.778055543,-12.474222221000018
495,683876.4246111141,5092468.7752777655,-12.356722221000018
496,683876.851555558,5092468.870277765,-12.315611110000019
497,683877.460166669,5092469.183611098,-12.295611110000019
498,683878.069333336,5092469.713611098,-12.294499999000019
499,683878.597111114,5092470.30333332,-12.202277777000019
500,683878.9915555579,5092471.034444431,-12.191999999000018
501,683879.4060000019,5092471.813611098,-12.307833332000017
502,683879.8090555579,5092472.646666653,-12.248666665000018
503,683880.1690555579,5092473.387777764,-12.193944443000017
504,683880.3218333359,5092474.1241666535,-12.013388887000017
505,683880.7304444469,5092474.8394444315,-11.944499998000017
506,683880.9515555579,5092475.395555543,-11.864222220000018
507,683881.2654444469,5092476.078333321,-11.779499998000018
508,683881.599333336,5092476.801944432,-11.833388887000018
509,683881.783500003,5092477.683611099,-11.776166665000018
510,683881.92266667,5092478.694444432,-11.790055554000018
511,683882.026555559,5092479.685833321,-11.786444443000018
512,683882.188222226,5092480.625277765,-11.684499999000018
513,683882.355722226,5092481.570277765,-11.522833332000017
514,683882.454888893,5092482.524166655,-11.562277776000018
515,683882.532388893,5092483.362499988,-11.490055554000017
516,683882.80655556,5092484.181388876,-11.513944443000018
517,683882.5601666709,5092484.847222209,-11.526999999000017
518,683882.657666671,5092485.60583332,-11.543111110000018
519,683882.767944449,5092486.406944431,-11.615055554000017
520,683882.7943333379,5092487.216111098,-11.527555554000017
521,683882.819888894,5092488.137222209,-11.524777776000017
